Node,Variable,Value
BE1,emissions_pos,704715.2739
BE2,emissions_pos,5997989.458
DE1,emissions_pos,5618774.583
DE2,emissions_pos,2319335.223
DE3,emissions_pos,420049.4184
DE4,emissions_pos,25746746.94
DE_G,emissions_pos,0
DE_H,emissions_pos,0
DE_I,emissions_pos,0
DK1,emissions_pos,733030.5505
DK_C,emissions_pos,0
NL1,emissions_pos,3248638.981
NL2,emissions_pos,673917.3096
NL3,emissions_pos,622681.045
NL4,emissions_pos,2662756.427
NL_F,emissions_pos,0
NL_G,emissions_pos,0
NO1,emissions_pos,0
NO_A,emissions_pos,0
NO_B,emissions_pos,0
NO_C,emissions_pos,0
NO_D,emissions_pos,0
UK1,emissions_pos,1690163.091
UK2,emissions_pos,5010467.369
UK3,emissions_pos,338366.3817
UK4,emissions_pos,12276479.07
UK_I,emissions_pos,0
UK_J,emissions_pos,0
UK_K,emissions_pos,0
UK_L,emissions_pos,0
