index;lon;lat;alt
BE_A;2.453;51.496;10.0
BE_B;2.89;51.612;10.0
BE1;3.056;51.011;10.0
BE2;4.852;50.596;10.0
DE_A;6.441;54.177;10.0
DE_B;6.033;54.66;10.0
DE_C;6.113;54.388;10.0
DE_D;6.591;54.022;10.0
DE_E;7.697;54.453;10.0
DE_F;7.21;55.132;10.0
DE1;6.963;51.387;10.0
DE2;7.8;52.947;10.0
DE3;9.806;53.68;10.0
DE4;10.785;50.637;10.0
DK_A;7.652;56.326;10.0
DK_B;7.746;55.751;10.0
DK1;10.051;55.959;10.0
NL_A;3.608;52.928;10.0
NL_B;3.178;53.1;10.0
NL_C;2.99;51.698;10.0
NL_D;4.01;52.519;10.0
NL_E;5.964;54.036;10.0
NL1;4.244;51.761;10.0
NL2;4.995;52.45;10.0
NL3;6.124;52.95;10.0
NL4;5.802;51.866;10.0
NO1;7.591;59.382;10.0
UK_B;1.168;53.49;10.0
UK_C;2.018;54.834;10.0
UK_D;-1.734;56.383;10.0
UK_E;-2.707;58.181;10.0
UK_F;2.126;53.896;10.0
UK_G;2.838;52.908;10.0
UK_H;2.232;52.11;10.0
UK1;0.696;52.104;10.0
UK2;-1.664;53.993;10.0
UK3;-4.581;56.477;10.0
UK4;-2.445;51.76;10.0
UK_L;-0.181;60.304;10.0
UK_K;-5.075;58.83;10.0
UK_J;-1.294;58.362;10.0
UK_I;-0.418;57.009;10.0
NO_D;25.642;71.425;10.0
NO_C;7.769;64.845;10.0
NO_B;4.155;59.642;10.0
NO_A;4.802;57.235;10.0
NL_G;5.642;54.021;10.0
NL_F;3.936;53.178;10.0
DK_C;6.626;56.266;10.0
DE_I;3.637;55.785;10.0
DE_H;5.064;55.157;10.0
DE_G;6.361;55.012;10.0
DK_ST1;4.67;56.35;10.0
NO_ST2;3.16;60.46;10.0
NO_ST1;1.9;58.35;10.0
